Category: All categories

Month,austin flights: (Worldwide)
2004-01,10
2004-02,9
2004-03,8
2004-04,9
2004-05,8
2004-06,9
2004-07,8
2004-08,11
2004-09,13
2004-10,6
2004-11,9
2004-12,9
2005-01,11
2005-02,11
2005-03,8
2005-04,7
2005-05,13
2005-06,13
2005-07,10
2005-08,10
2005-09,11
2005-10,12
2005-11,8
2005-12,8
2006-01,10
2006-02,16
2006-03,14
2006-04,8
2006-05,12
2006-06,11
2006-07,12
2006-08,13
2006-09,10
2006-10,11
2006-11,9
2006-12,10
2007-01,12
2007-02,15
2007-03,11
2007-04,11
2007-05,11
2007-06,15
2007-07,14
2007-08,16
2007-09,11
2007-10,12
2007-11,11
2007-12,11
2008-01,17
2008-02,17
2008-03,16
2008-04,14
2008-05,15
2008-06,15
2008-07,14
2008-08,13
2008-09,14
2008-10,12
2008-11,11
2008-12,11
2009-01,14
2009-02,14
2009-03,15
2009-04,15
2009-05,14
2009-06,17
2009-07,17
2009-08,18
2009-09,15
2009-10,15
2009-11,13
2009-12,13
2010-01,18
2010-02,20
2010-03,21
2010-04,15
2010-05,16
2010-06,18
2010-07,18
2010-08,17
2010-09,17
2010-10,15
2010-11,13
2010-12,16
2011-01,21
2011-02,20
2011-03,20
2011-04,18
2011-05,18
2011-06,21
2011-07,22
2011-08,20
2011-09,20
2011-10,17
2011-11,14
2011-12,15
2012-01,21
2012-02,20
2012-03,20
2012-04,19
2012-05,21
2012-06,22
2012-07,22
2012-08,21
2012-09,23
2012-10,21
2012-11,18
2012-12,17
2013-01,23
2013-02,24
2013-03,26
2013-04,24
2013-05,24
2013-06,26
2013-07,27
2013-08,26
2013-09,28
2013-10,26
2013-11,24
2013-12,23
2014-01,32
2014-02,33
2014-03,33
2014-04,29
2014-05,30
2014-06,31
2014-07,34
2014-08,32
2014-09,30
2014-10,29
2014-11,26
2014-12,26
2015-01,35
2015-02,31
2015-03,39
2015-04,36
2015-05,36
2015-06,40
2015-07,40
2015-08,36
2015-09,43
2015-10,42
2015-11,35
2015-12,37
2016-01,44
2016-02,46
2016-03,49
2016-04,43
2016-05,48
2016-06,48
2016-07,48
2016-08,47
2016-09,48
2016-10,45
2016-11,44
2016-12,42
2017-01,61
2017-02,57
2017-03,67
2017-04,61
2017-05,54
2017-06,65
2017-07,58
2017-08,72
2017-09,50
2017-10,58
2017-11,53
2017-12,53
2018-01,72
2018-02,71
2018-03,75
2018-04,69
2018-05,68
2018-06,75
2018-07,78
2018-08,76
2018-09,71
2018-10,70
2018-11,65
2018-12,71
2019-01,84
2019-02,86
2019-03,87
2019-04,83
2019-05,81
2019-06,90
2019-07,87
2019-08,85
2019-09,85
2019-10,83
2019-11,83
2019-12,83
2020-01,98
2020-02,86
2020-03,70
2020-04,22
2020-05,33
2020-06,45
2020-07,33
2020-08,35
2020-09,39
2020-10,41
2020-11,31
2020-12,31
2021-01,37
2021-02,50
2021-03,61
2021-04,62
2021-05,70
2021-06,74
2021-07,75
2021-08,63
2021-09,64
2021-10,70
2021-11,70
2021-12,70
2022-01,80
2022-02,96
2022-03,100
2022-04,98
2022-05,93
2022-06,96
2022-07,92
2022-08,89
2022-09,84
2022-10,77
2022-11,73
2022-12,81
2023-01,94
2023-02,87
2023-03,89
2023-04,82
2023-05,81
2023-06,85
2023-07,80
2023-08,71
2023-09,73
2023-10,69
2023-11,65
2023-12,67
2024-01,87
2024-02,87
2024-03,86
2024-04,80
2024-05,85
2024-06,88
2024-07,90
2024-08,86
2024-09,85
2024-10,86
